BMP_ID,Land-Use,Sub Crop,PerAcreORPerYield,TopographySlopes,StreamBorder,Year,Time of Year,Frequency,Time - Cost Type ,Action - Cost Type,Fixed/Variable,Cost Name,# Labor Hours,  Value  , PV , EAA ,Description
1,GrassedWaterways,,,,,1,,Annual,Establishment,Input,Fixed,Seed cost - Legume (alfalfa),,77.31,77.31,5.029126446,Assume reseed every 30 years 18 lbs alfalfa seed. 77.31
1,GrassedWaterways,,,,,1,,Annual,Establishment,Input,Fixed,Seed cost - Grass mix,,56.61,56.61,3.68256174,"Assume reseed every 30 years. 56.61
Mix of 10 lbs alfalfa, 8 lbs brome, 3 lbs orchardgrass per acre"
1,GrassedWaterways,,,,,1,,Annual,Establishment,Input,Fixed,Seed cost - oats,,16.96,16.96,1.103272339,Assume reseed every 30 years.  2 lbs oats per acre.   16.96
1,GrassedWaterways,,,,,1,,Annual,Establishment,Input,Fixed,Equipment - Drilling,,15.42,15.42,1.003093129,Assume reseed every 30 years.  15.42
1,GrassedWaterways,,,,,1,9,Annual,Establishment,Labor,Fixed,Seed Labor,1,14.25,14.25,0.92698295,Same as alfalfa
1,GrassedWaterways,,,,,1,11,Annual,Preharvest,Custom,Fixed,Mowing custom labor,,12.132,12.132,0.78920401,Based on prairie budget
1,GrassedWaterways,,,,,2,11,Annual,Preharvest,Custom,Fixed,Mowing custom labor,,12.132,11.5254,0.74974381,Based on prairie budget
1,GrassedWaterways,,,,,3,11,Annual,Preharvest,Custom,Fixed,Mowing custom labor,,12.132,10.94913,0.712256619,Based on prairie budget
1,GrassedWaterways,,,,,4,11,Annual,Preharvest,Custom,Fixed,Mowing custom labor,,12.132,10.4016735,0.676643788,Based on prairie budget
1,GrassedWaterways,,,,,5,11,Annual,Preharvest,Custom,Fixed,Mowing custom labor,,12.132,9.881589825,0.642811599,Based on prairie budget
1,GrassedWaterways,,,,,6,11,Annual,Preharvest,Custom,Fixed,Mowing custom labor,,12.132,9.387510334,0.610671019,Based on prairie budget
1,GrassedWaterways,,,,,7,11,Annual,Preharvest,Custom,Fixed,Mowing custom labor,,12.132,8.918134817,0.580137468,Based on prairie budget
1,GrassedWaterways,,,,,8,11,Annual,Preharvest,Custom,Fixed,Mowing custom labor,,12.132,8.472228076,0.551130595,Based on prairie budget
1,GrassedWaterways,,,,,9,11,Annual,Preharvest,Custom,Fixed,Mowing custom labor,,12.132,8.048616672,0.523574065,Based on prairie budget
1,GrassedWaterways,,,,,10,11,Annual,Preharvest,Custom,Fixed,Mowing custom labor,,12.132,7.646185839,0.497395362,Based on prairie budget
1,GrassedWaterways,,,,,11,11,Annual,Preharvest,Custom,Fixed,Mowing custom labor,,12.132,7.263876547,0.472525594,Based on prairie budget
1,GrassedWaterways,,,,,12,11,Annual,Preharvest,Custom,Fixed,Mowing custom labor,,12.132,6.900682719,0.448899314,Based on prairie budget
1,GrassedWaterways,,,,,13,11,Annual,Preharvest,Custom,Fixed,Mowing custom labor,,12.132,6.555648584,0.426454348,Based on prairie budget
1,GrassedWaterways,,,,,14,11,Annual,Preharvest,Custom,Fixed,Mowing custom labor,,12.132,6.227866154,0.405131631,Based on prairie budget
1,GrassedWaterways,,,,,15,11,Annual,Preharvest,Custom,Fixed,Mowing custom labor,,12.132,5.916472847,0.384875049,Based on prairie budget
1,GrassedWaterways,,,,,16,11,Annual,Preharvest,Custom,Fixed,Mowing custom labor,,12.132,5.620649204,0.365631297,Based on prairie budget
1,GrassedWaterways,,,,,17,11,Annual,Preharvest,Custom,Fixed,Mowing custom labor,,12.132,5.339616744,0.347349732,Based on prairie budget
1,GrassedWaterways,,,,,18,11,Annual,Preharvest,Custom,Fixed,Mowing custom labor,,12.132,5.072635907,0.329982245,Based on prairie budget
1,GrassedWaterways,,,,,19,11,Annual,Preharvest,Custom,Fixed,Mowing custom labor,,12.132,4.819004112,0.313483133,Based on prairie budget
1,GrassedWaterways,,,,,20,11,Annual,Preharvest,Custom,Fixed,Mowing custom labor,,12.132,4.578053906,0.297808976,Based on prairie budget
1,GrassedWaterways,,,,,21,11,Annual,Preharvest,Custom,Fixed,Mowing custom labor,,12.132,4.349151211,0.282918528,Based on prairie budget
1,GrassedWaterways,,,,,22,11,Annual,Preharvest,Custom,Fixed,Mowing custom labor,,12.132,4.13169365,0.268772601,Based on prairie budget
