LU_ID,Land-Use,Sub Crop,PerAcreORPerYield,TopographySlopes,StreamBorder,Year,Time of Year,Frequency,Time - Cost Type,Action - Cost Type,Fixed/Variable,Cost Name,# Labor Hours,Value,NPV,EAA,Description
1,Conventional Corn,Corn after Corn,,,,1,,Annual,Preharvest,Equipment,Fixed,Chisel plow ,,3.6,3.6,3.6,
1,Conventional Corn,Corn after Corn,,,,1,,Annual,Preharvest,Equipment,Variable,Chisel plow ,,3.9,3.9,3.9,
1,Conventional Corn,Corn after Corn,,,,1,,Annual,Preharvest,Equipment,Fixed,Tandem disk ,,4.6,4.6,4.6,
1,Conventional Corn,Corn after Corn,,,,1,,Annual,Preharvest,Equipment,Variable,Tandem disk ,,3.4,3.4,3.4,
1,Conventional Corn,Corn after Corn,,,,1,,Annual,Preharvest,Equipment,Fixed,Apply nitrogen ,,4.3,4.3,4.3,
1,Conventional Corn,Corn after Corn,,,,1,,Annual,Preharvest,Equipment,Variable,Apply nitrogen ,,4.4,4.4,4.4,
1,Conventional Corn,Corn after Corn,,,,1,,Annual,Preharvest,Equipment,Fixed,Field cultivate ,,2.7,2.7,2.7,
1,Conventional Corn,Corn after Corn,,,,1,,Annual,Preharvest,Equipment,Variable,Field cultivate ,,2.7,2.7,2.7,
1,Conventional Corn,Corn after Corn,,,,1,,Annual,Preharvest,Equipment,Fixed,Plant ,,5.9,5.9,5.9,
1,Conventional Corn,Corn after Corn,,,,1,,Annual,Preharvest,Equipment,Variable,Plant ,,4.8,4.8,4.8,
1,Conventional Corn,Corn after Corn,,,,1,,Annual,Preharvest,Equipment,Fixed,Spray ,,2.2,2.2,2.2,
1,Conventional Corn,Corn after Corn,,,,1,,Annual,Preharvest,Equipment,Variable,Spray ,,2,2,2,
1,Conventional Corn,Corn after Corn,,,,1,,Annual,Preharvest,Input,Variable,Seed ,,95.8,95.8,95.8,"$3.19/1000 kernels * 30,000 kernels/acre"
1,Conventional Corn,Corn after Corn,,,,1,,Annual,Preharvest,Input,Variable,Nitrogen ,,70.68,70.68,70.68,$0.38/lb * 186 lbs/acre
1,Conventional Corn,Corn after Corn,,,,1,,Annual,Preharvest,Input,Variable,Phosphate,,28.56,28.56,28.56,$0.42/lb * 68 lbs/acre
1,Conventional Corn,Corn after Corn,,,,1,,Annual,Preharvest,Input,Variable,Potash ,,17.05,17.05,17.05,$0.31/lb * 55 lbs/acre
