ID,Row,Column,Area,BaseLandUseType,CarbonMax,CarbonMin,Cattle,CornYield,DrainageClass,Erosion,FloodFrequency,Group,NitratesPPM,Pindex,Sediment,SoilType,SoybeanYield,StreamNetwork,Subwatershed,Timber,Topography,WatershedNitrogenContribution,Wetland,CurrentLandUse,CurrentLandUse,CurrentLandUse,PrecipYear0,PrecipYear1,PrecipYear2,PrecipYear3,riverStreams
1,1,1,10,1,18980,486,17.5,2080,30,2.2,0,,1,57.2,1.636904762,A,60.32,0,1,2750,2,0.000203874,0,14,14,14,24.58,30.39,34.34,28.18,0
2,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
3,1,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
4,1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
5,1,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
6,1,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
7,1,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
8,1,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
9,1,9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
10,1,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
11,1,11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
12,1,12,10,1,18980,486,17.5,2210,30,2.2,0, ,3,23.6,1.636904762,M,64.09,0,3,2750,3,0.000611621,0,4,4,4,24.58,30.39,34.34,28.18,0
13,1,13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
14,1,14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
15,1,15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
16,1,16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
17,1,17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
18,1,18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
19,1,19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
20,1,20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
21,1,21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
22,1,22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
23,1,23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
24,2,1,10,1,18980,486,17.5,2080,30,2.2,0, ,1,57.2,1.636904762,A,60.32,0,1,2750,2,0.000203874,0,11,11,11,24.58,30.39,34.34,28.18,0
25,2,2,10,1,18980,486,17.5,2080,30,2.2,0, ,1,57.2,1.636904762,A,60.32,0,1,2750,2,0.000203874,0,6,6,6,24.58,30.39,34.34,28.18,0
26,2,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
27,2,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
28,2,5,10,1,18980,486,17.5,2080,30,2.2,0, ,1,57.2,1.636904762,A,60.32,0,1,2750,2,0.000203874,0,4,4,4,24.58,30.39,34.34,28.18,0
29,2,6,10,1,18980,486,17.5,2080,30,2.2,0, ,1,57.2,1.636904762,A,60.32,0,1,2750,2,0.000203874,0,1,1,1,24.58,30.39,34.34,28.18,0
30,2,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
31,2,8,10,1,18980,486,17.5,2080,30,2.2,0, ,1,57.2,1.636904762,A,60.32,0,1,2750,3,0.000203874,0,4,4,4,24.58,30.39,34.34,28.18,0
32,2,9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
33,2,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
34,2,11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
35,2,12,10,1,18980,486,17.5,2210,30,2.2,0, ,3,23.6,1.636904762,M,64.09,0,3,2750,3,0.000611621,0,10,10,10,24.58,30.39,34.34,28.18,0
36,2,13,10,1,18980,486,17.5,2210,30,2.2,0, ,3,23.6,1.636904762,M,64.09,0,3,2750,3,0.000611621,0,14,14,14,24.58,30.39,34.34,28.18,0
37,2,14,10,1,18980,486,17.5,2210,30,2.2,0, ,3,23.6,1.636904762,M,64.09,0,3,2750,3,0.000611621,0,12,12,12,24.58,30.39,34.34,28.18,0
38,2,15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
39,2,16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
40,2,17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
41,2,18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
42,2,19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
43,2,20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
44,2,21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
45,2,22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
46,2,23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
47,3,1,10,1,18980,486,17.5,2080,30,2.2,0, ,1,57.2,1.636904762,A,60.32,0,1,2750,2,0.000203874,0,12,12,12,24.58,30.39,34.34,28.18,0
48,3,2,10,1,18980,486,17.5,2080,30,2.2,0, ,1,57.2,1.636904762,A,60.32,0,1,2750,2,0.000203874,0,6,6,6,24.58,30.39,34.34,28.18,0
49,3,3,10,1,18980,486,17.5,2080,30,2.2,0, ,1,57.2,1.636904762,A,60.32,0,1,2750,2,0.000203874,0,14,14,14,24.58,30.39,34.34,28.18,0
50,3,4,10,1,18980,486,17.5,2080,30,2.2,0, ,1,57.2,1.636904762,A,60.32,0,1,2750,2,0.000203874,0,2,2,2,24.58,30.39,34.34,28.18,0
51,3,5,10,1,18980,486,17.5,2280,50,1.5,0, ,1,57.2,1.116071429,N,66.12,0,1,1750,1,0.000203874,0,5,5,5,24.58,30.39,34.34,28.18,0
52,3,6,10,1,18980,486,17.5,2080,30,2.2,0, ,1,57.2,1.636904762,A,60.32,0,1,2750,2,0.000203874,0,12,12,12,24.58,30.39,34.34,28.18,0
53,3,7,10,1,18980,486,17.5,2080,30,2.2,0, ,1,57.2,1.636904762,A,60.32,0,1,2750,3,0.000203874,0,12,12,12,24.58,30.39,34.34,28.18,0
