ID,Row,Column,Area,BaseLandUseType,CarbonMax,CarbonMin,Cattle,CornYield,DrainageClass,Erosion,FloodFrequency,Group,NitratesPPM,PIndex,Sediment,SoilType,SoybeanYield,StreamNetwork,Subwatershed,Timber,Topography,WatershedNitrogenContribution,StrategicWetland,riverStreams,LandTypeYear1,LandTypeYear2,LandTypeYear3,PrecipYear0,PrecipYear1,PrecipYear2,PrecipYear3
1,1,1,10,1,18980,486,17.5,2080,30,1.5,0,,1,57.2,1.636904762,A,60.32,0,1,2750,0,0.000203874,0,0,1,1,1,24.58,30.39,34.34,28.18
2,1,2,10,1,18980,486,17.5,2080,30,1.5,0,,1,57.2,1.636904762,A,60.32,0,1,2750,0,0.000203874,0,0,1,1,1,24.58,30.39,34.34,28.18
3,1,3,10,1,18980,486,17.5,2080,30,1.5,0,,1,57.2,1.636904762,A,60.32,0,1,2750,0,0.000203874,0,0,1,1,1,24.58,30.39,34.34,28.18
4,1,4,10,1,18980,486,17.5,2080,30,1.5,0,,1,57.2,1.636904762,A,60.32,0,1,2750,0,0.000203874,0,0,1,1,1,24.58,30.39,34.34,28.18
5,1,5,10,1,18980,486,17.5,2080,30,1.5,0,,1,57.2,1.636904762,A,60.32,0,1,2750,0,0.000203874,0,0,1,1,1,24.58,30.39,34.34,28.18
6,1,6,10,1,18980,486,17.5,2080,30,1.5,0,,1,57.2,1.636904762,A,60.32,0,1,2750,0,0.000203874,0,0,1,1,1,24.58,30.39,34.34,28.18
7,1,7,10,1,18980,486,17.5,2080,30,1.5,0,,1,57.2,1.636904762,A,60.32,0,1,2750,0,0.000203874,0,0,1,1,1,24.58,30.39,34.34,28.18
8,1,8,10,1,18980,486,17.5,2080,30,1.5,0,,1,57.2,1.636904762,A,60.32,0,1,2750,0,0.000203874,0,0,1,1,1,24.58,30.39,34.34,28.18
9,2,1,10,1,18980,486,17.5,2210,30,1.5,0,,1,57.2,1.636904762,A,64.09,0,1,2750,0,0.000611621,0,0,1,1,1,24.58,30.39,34.34,28.18
10,2,2,10,1,18980,486,17.5,2210,30,1.5,0,,1,57.2,1.636904762,A,64.09,0,1,2750,0,0.000611621,0,0,1,1,1,24.58,30.39,34.34,28.18
11,2,3,10,1,18980,486,17.5,2210,30,1.5,0,,1,57.2,1.636904762,A,64.09,0,1,2750,0,0.000611621,0,0,1,1,1,24.58,30.39,34.34,28.18
12,2,4,10,1,18980,486,17.5,2210,30,1.5,0,,1,57.2,1.636904762,A,64.09,0,1,2750,0,0.000611621,0,0,1,1,1,24.58,30.39,34.34,28.18
13,2,5,10,1,18980,486,17.5,2210,30,1.5,0,,1,57.2,1.636904762,A,64.09,0,1,2750,0,0.000611621,0,0,1,1,1,24.58,30.39,34.34,28.18
14,2,6,10,1,18980,486,17.5,2210,30,1.5,0,,1,57.2,1.636904762,A,64.09,0,1,2750,0,0.000611621,0,0,1,1,1,24.58,30.39,34.34,28.18
15,2,7,10,1,18980,486,17.5,2210,30,1.5,0,,1,57.2,1.636904762,A,64.09,0,1,2750,0,0.000611621,0,0,1,1,1,24.58,30.39,34.34,28.18
16,2,8,10,1,18980,486,17.5,2210,30,1.5,0,,1,57.2,1.636904762,A,64.09,0,1,2750,0,0.000611621,0,,1,1,1,24.58,30.39,34.34,28.18
17,3,1,10,1,18980,486,17.5,2210,30,1.5,0,,1,57.2,1.636904762,A,64.09,0,1,2750,0,0.000611621,0,0,1,1,1,24.58,30.39,34.34,28.18
18,3,2,10,1,18980,486,17.5,2210,30,1.5,0,,1,57.2,1.636904762,A,64.09,0,1,2750,0,0.000611621,0,0,1,1,1,24.58,30.39,34.34,28.18
19,3,3,10,1,18980,486,17.5,2210,30,1.5,0,,1,57.2,1.636904762,A,64.09,0,1,2750,0,0.000611621,0,0,1,1,1,24.58,30.39,34.34,28.18
20,3,4,10,1,18980,486,17.5,2210,30,1.5,0,,1,57.2,1.636904762,A,64.09,0,1,2750,0,0.000611621,0,0,1,1,1,24.58,30.39,34.34,28.18
21,3,5,10,1,18980,486,17.5,2210,30,1.5,0,,1,57.2,1.636904762,A,64.09,0,1,2750,0,0.000611621,0,0,1,1,1,24.58,30.39,34.34,28.18
22,3,6,10,1,18980,486,17.5,2210,30,1.5,0,,1,57.2,1.636904762,A,64.09,0,1,2750,0,0.000611621,0,0,1,1,1,24.58,30.39,34.34,28.18
23,3,7,10,1,18980,486,17.5,2210,30,1.5,0,,3,23.6,1.636904762,A,64.09,0,1,2750,0,0.000611621,0,0,1,1,1,24.58,30.39,34.34,28.18
24,3,8,10,1,18980,486,17.5,2210,30,1.5,0,,3,23.6,1.636904762,A,64.09,0,1,2750,0,0.000611621,0,0,1,1,1,24.58,30.39,34.34,28.18
25,4,1,10,1,18980,486,17.5,2280,30,1.5,0,,1,57.2,1.636904762,A,66.12,0,1,1750,0,0.000203874,0,0,1,1,1,24.58,30.39,34.34,28.18
26,4,2,10,1,18980,486,17.5,2280,30,1.5,0,,1,57.2,1.636904762,A,66.12,0,1,1750,0,0.000203874,0,0,1,1,1,24.58,30.39,34.34,28.18
27,4,3,10,1,18980,486,17.5,2280,30,1.5,0,,1,57.2,1.636904762,A,66.12,0,1,1750,0,0.000203874,0,0,1,1,1,24.58,30.39,34.34,28.18
28,4,4,10,1,18980,486,17.5,2280,30,1.5,0,,1,57.2,1.636904762,A,66.12,0,1,1750,0,0.000203874,0,0,1,1,1,24.58,30.39,34.34,28.18
29,4,5,10,1,18980,486,17.5,2280,30,1.5,0,,3,23.6,1.636904762,A,66.12,0,1,1750,0,0.000203874,0,0,1,1,1,24.58,30.39,34.34,28.18
30,4,6,10,1,18980,486,17.5,2280,30,1.5,0,,3,23.6,1.636904762,A,66.12,0,1,1750,0,0.000203874,0,0,1,1,1,24.58,30.39,34.34,28.18
31,4,7,10,1,18980,486,17.5,2350,30,1.5,0,,3,23.6,1.116071429,A,68.15,0,1,2750,0,0.000611621,0,0,1,1,1,24.58,30.39,34.34,28.18
32,4,8,10,1,18980,486,17.5,2350,30,1.5,0,,3,23.6,1.116071429,A,68.15,0,1,2750,0,0.000611621,0,0,1,1,1,24.58,30.39,34.34,28.18
33,5,1,10,1,18980,486,17.5,2350,30,1.5,0,,1,57.2,1.636904762,A,68.15,0,1,2450,0,0.000611621,0,0,1,1,1,24.58,30.39,34.34,28.18
34,5,2,10,1,18980,486,17.5,2350,30,1.5,0,,1,57.2,1.636904762,A,68.15,0,1,2450,0,0.000611621,0,0,1,1,1,24.58,30.39,34.34,28.18
